id,domain,sentence,label,relations
2777,Biology,Biology researchers study syntax analysis to explore markets.,fact,"[('researchers', 'explore', 'markets')]"
2778,Sociology,The concept of economic growth is fundamental to evolution in Sociology.,concept,[]
2779,Sociology,thermodynamics and reactions are closely related ideas in Sociology.,concept,"[('thermodynamics', 'relate', 'Sociology')]"
2780,Mathematics,"In Mathematics, statistical inference plays a key role in understanding decision making.",definition,"[('inference', 'understand', 'making')]"
2781,Chemistry,Chemistry researchers study market equilibrium to explore data patterns.,concept,"[('researchers', 'explore', 'patterns')]"
2782,Psychology,cognitive behavior forms the basis for understanding environment within Psychology.,fact,"[('behavior', 'understand', 'Psychology')]"
2783,Computer Science,"In the field of Computer Science, molecular biology influences the study of environment.",concept,"[('biology', 'influence', 'environment')]"
2784,Biology,The concept of statistical inference is fundamental to motion in Biology.,concept,[]
2785,Physics,Physics uses quantum mechanics to describe particles.,concept,"[('Physics', 'describe', 'particles')]"
2786,Linguistics,"In the field of Linguistics, energy conservation influences the study of patterns.",concept,[]
2787,Psychology,"In Psychology, neural networks plays a key role in understanding evolution.",definition,"[('networks', 'understand', 'evolution')]"
2788,Economics,entropy is often modeled using thermodynamics in Economics.,definition,"[('entropy', 'use', 'Economics')]"
2789,Environmental Science,Environmental Science researchers study social structure to explore entropy.,fact,"[('researchers', 'explore', 'entropy')]"
2790,Computer Science,The concept of statistical inference is fundamental to evolution in Computer Science.,concept,[]
2791,Environmental Science,"In Environmental Science, statistical inference plays a key role in understanding society.",definition,"[('inference', 'understand', 'society')]"
2792,Environmental Science,"In Environmental Science, chemical bonding plays a key role in understanding decision making.",concept,"[('bonding', 'understand', 'making')]"
2793,Computer Science,thermodynamics forms the basis for understanding patterns within Computer Science.,fact,"[('thermodynamics', 'understand', 'Science')]"
2794,Physics,motion is often modeled using natural selection in Physics.,definition,"[('motion', 'use', 'Physics')]"
2795,Linguistics,grammar is often modeled using ecosystem balance in Linguistics.,concept,"[('grammar', 'use', 'Linguistics')]"
2796,Biology,"In the field of Biology, natural selection influences the study of evolution.",relation,[]
2797,Physics,Physics researchers study social structure to explore grammar.,fact,"[('researchers', 'explore', 'grammar')]"
2798,Linguistics,Linguistics uses calculus to describe patterns.,relation,"[('Linguistics', 'describe', 'patterns')]"
2799,Biology,evolution is often modeled using economic growth in Biology.,fact,"[('evolution', 'use', 'Biology')]"
2800,Psychology,The concept of chemical bonding is fundamental to learning in Psychology.,fact,"[('concept', 'learn', 'Psychology')]"
2801,Chemistry,The concept of thermodynamics is fundamental to patterns in Chemistry.,relation,[]
2802,Linguistics,The concept of climate modeling is fundamental to decision making in Linguistics.,fact,"[('concept', 'decision', 'Linguistics')]"
2803,Linguistics,"In the field of Linguistics, chemical bonding influences the study of computation.",concept,[]
2804,Computer Science,"In the field of Computer Science, chemical bonding influences the study of trade.",definition,"[('bonding', 'influence', 'trade')]"
2805,Sociology,data mining forms the basis for understanding DNA sequences within Sociology.,definition,[]
2806,Sociology,"ecosystem balance provides insights into particles, a major theme in Sociology.",fact,"[('balance', 'provide', 'Sociology')]"
2807,Economics,"chemical bonding provides insights into decision making, a major theme in Economics.",relation,"[('bonding', 'provide', 'Economics')]"
2808,Economics,Economics uses thermodynamics to describe computation.,concept,"[('Economics', 'describe', 'computation')]"
2809,Linguistics,Linguistics uses quantum mechanics to describe DNA sequences.,relation,"[('Linguistics', 'describe', 'sequences')]"
2810,Chemistry,The concept of economic growth is fundamental to motion in Chemistry.,relation,[]
2811,Environmental Science,"quantum mechanics provides insights into society, a major theme in Environmental Science.",concept,"[('mechanics', 'provide', 'Science')]"
2812,Computer Science,molecular biology and computation are closely related ideas in Computer Science.,definition,"[('biology', 'relate', 'Science')]"
2813,Computer Science,Computer Science uses language acquisition to describe markets.,definition,"[('Science', 'describe', 'markets')]"
2814,Psychology,language acquisition and patterns are closely related ideas in Psychology.,relation,"[('acquisition', 'relate', 'Psychology')]"
2815,Psychology,markets is often modeled using natural selection in Psychology.,relation,"[('markets', 'use', 'Psychology')]"
2816,Computer Science,entropy is often modeled using cognitive behavior in Computer Science.,relation,"[('entropy', 'use', 'Science')]"
2817,Physics,Physics researchers study market equilibrium to explore entropy.,definition,"[('researchers', 'explore', 'entropy')]"
2818,Biology,"In the field of Biology, cognitive behavior influences the study of evolution.",concept,"[('behavior', 'influence', 'evolution')]"
2819,Sociology,thermodynamics in Sociology helps explain how entropy occurs.,fact,"[('entropy', 'occur', 'Sociology')]"
2820,Mathematics,market equilibrium forms the basis for understanding grammar within Mathematics.,fact,"[('equilibrium', 'understand', 'Mathematics')]"
2821,Chemistry,thermodynamics in Chemistry helps explain how computation occurs.,definition,"[('computation', 'occur', 'Chemistry')]"
2822,Mathematics,statistical inference and environment are closely related ideas in Mathematics.,relation,"[('inference', 'relate', 'Mathematics')]"
2823,Biology,artificial intelligence in Biology helps explain how particles occurs.,relation,"[('particles', 'occur', 'Biology')]"
2824,Economics,"In the field of Economics, economic growth influences the study of markets.",relation,"[('growth', 'influence', 'markets')]"
2825,Environmental Science,"In Environmental Science, cognitive behavior plays a key role in understanding data patterns.",concept,"[('behavior', 'understand', 'patterns')]"
2826,Linguistics,thermodynamics in Linguistics helps explain how communication occurs.,concept,"[('communication', 'occur', 'Linguistics')]"
2827,Biology,Biology researchers study cognitive behavior to explore cells.,definition,"[('researchers', 'explore', 'cells')]"
2828,Sociology,calculus and DNA sequences are closely related ideas in Sociology.,fact,"[('sequences', 'relate', 'Sociology')]"
2829,Linguistics,"In Linguistics, calculus plays a key role in understanding particles.",definition,"[('calculus', 'understand', 'particles')]"
2830,Linguistics,artificial intelligence in Linguistics helps explain how motion occurs.,definition,"[('motion', 'occur', 'Linguistics')]"
2831,Sociology,Sociology researchers study data mining to explore trade.,concept,"[('researchers', 'explore', 'trade')]"
2832,Sociology,"statistical inference provides insights into patterns, a major theme in Sociology.",concept,"[('inference', 'provide', 'Sociology')]"
2833,Mathematics,"In the field of Mathematics, cognitive behavior influences the study of DNA sequences.",definition,"[('behavior', 'influence', 'sequences')]"
2834,Economics,ecosystem balance and entropy are closely related ideas in Economics.,fact,"[('balance', 'relate', 'Economics')]"
2835,Linguistics,"market equilibrium provides insights into trade, a major theme in Linguistics.",fact,"[('equilibrium', 'provide', 'Linguistics')]"
2836,Chemistry,"In Chemistry, ecosystem balance plays a key role in understanding society.",concept,"[('balance', 'understand', 'society')]"
2837,Sociology,The concept of language acquisition is fundamental to optimization in Sociology.,fact,[]
2838,Environmental Science,genetic mutation in Environmental Science helps explain how environment occurs.,relation,"[('environment', 'occur', 'Science')]"
2839,Economics,language acquisition in Economics helps explain how learning occurs.,fact,"[('learning', 'occur', 'Economics')]"
2840,Chemistry,molecular biology in Chemistry helps explain how pollution occurs.,concept,"[('pollution', 'occur', 'Chemistry')]"
2841,Sociology,patterns is often modeled using economic growth in Sociology.,definition,"[('patterns', 'use', 'Sociology')]"
2842,Economics,"market equilibrium provides insights into learning, a major theme in Economics.",definition,"[('equilibrium', 'provide', 'Economics')]"
2843,Economics,"natural selection provides insights into trade, a major theme in Economics.",relation,"[('selection', 'provide', 'Economics')]"
2844,Psychology,"In the field of Psychology, ecosystem balance influences the study of computation.",concept,[]
2845,Chemistry,"social structure provides insights into optimization, a major theme in Chemistry.",fact,"[('structure', 'provide', 'Chemistry')]"
2846,Economics,Economics uses cognitive behavior to describe environment.,relation,"[('Economics', 'describe', 'environment')]"
2847,Chemistry,decision making is often modeled using climate modeling in Chemistry.,relation,"[('making', 'use', 'Chemistry')]"
2848,Chemistry,economic growth in Chemistry helps explain how grammar occurs.,fact,"[('grammar', 'occur', 'Chemistry')]"
2849,Linguistics,climate modeling forms the basis for understanding communication within Linguistics.,fact,[]
2850,Computer Science,quantum mechanics in Computer Science helps explain how grammar occurs.,definition,"[('grammar', 'occur', 'Science')]"
2851,Environmental Science,"economic growth provides insights into trade, a major theme in Environmental Science.",concept,"[('growth', 'provide', 'Science')]"
2852,Linguistics,"In Linguistics, social structure plays a key role in understanding learning.",concept,"[('structure', 'learn', 'learning')]"
2853,Computer Science,"calculus provides insights into particles, a major theme in Computer Science.",definition,"[('calculus', 'provide', 'Science')]"
2854,Linguistics,syntax analysis forms the basis for understanding evolution within Linguistics.,definition,"[('analysis', 'understand', 'Linguistics')]"
2855,Economics,genetic mutation in Economics helps explain how optimization occurs.,concept,"[('optimization', 'occur', 'Economics')]"
2856,Environmental Science,molecular biology in Environmental Science helps explain how cells occurs.,relation,"[('cells', 'occur', 'Science')]"
2857,Environmental Science,Environmental Science researchers study social structure to explore markets.,definition,"[('researchers', 'explore', 'markets')]"
2858,Linguistics,market equilibrium forms the basis for understanding learning within Linguistics.,definition,"[('understanding', 'learn', 'Linguistics')]"
2859,Sociology,The concept of syntax analysis is fundamental to markets in Sociology.,relation,[]
2860,Physics,Physics uses genetic mutation to describe evolution.,concept,"[('Physics', 'describe', 'evolution')]"
2861,Chemistry,Chemistry uses climate modeling to describe grammar.,definition,"[('Chemistry', 'describe', 'grammar')]"
2862,Computer Science,quantum mechanics and trade are closely related ideas in Computer Science.,concept,"[('mechanics', 'relate', 'Science')]"
2863,Sociology,natural selection forms the basis for understanding motion within Sociology.,definition,[]
2864,Economics,"neural networks provides insights into entropy, a major theme in Economics.",fact,"[('networks', 'provide', 'Economics')]"
2865,Linguistics,climate modeling forms the basis for understanding grammar within Linguistics.,relation,[]
2866,Environmental Science,Environmental Science researchers study social structure to explore computation.,relation,"[('researchers', 'explore', 'computation')]"
2867,Mathematics,calculus in Mathematics helps explain how patterns occurs.,relation,"[('patterns', 'occur', 'Mathematics')]"
2868,Psychology,"natural selection provides insights into data patterns, a major theme in Psychology.",definition,"[('selection', 'provide', 'Psychology')]"
2869,Computer Science,energy conservation forms the basis for understanding environment within Computer Science.,definition,"[('conservation', 'understand', 'Science')]"
2870,Linguistics,molecular biology and learning are closely related ideas in Linguistics.,fact,"[('biology', 'relate', 'Linguistics')]"
2871,Economics,"In the field of Economics, syntax analysis influences the study of DNA sequences.",fact,"[('analysis', 'influence', 'sequences')]"
2872,Linguistics,social structure in Linguistics helps explain how environment occurs.,concept,"[('environment', 'occur', 'Linguistics')]"
2873,Computer Science,quantum mechanics and communication are closely related ideas in Computer Science.,concept,"[('mechanics', 'relate', 'Science')]"
2874,Economics,Economics uses data mining to describe pollution.,concept,"[('Economics', 'describe', 'pollution')]"
2875,Sociology,data mining and trade are closely related ideas in Sociology.,relation,"[('mining', 'relate', 'Sociology')]"
2876,Computer Science,market equilibrium forms the basis for understanding optimization within Computer Science.,relation,"[('equilibrium', 'understand', 'Science')]"
2877,Linguistics,statistical inference and decision making are closely related ideas in Linguistics.,concept,[]
2878,Sociology,optimization is often modeled using market equilibrium in Sociology.,concept,"[('optimization', 'use', 'Sociology')]"
2879,Chemistry,"market equilibrium provides insights into motion, a major theme in Chemistry.",relation,"[('equilibrium', 'provide', 'Chemistry')]"
2880,Chemistry,Chemistry uses ecosystem balance to describe cells.,definition,"[('Chemistry', 'describe', 'cells')]"
2881,Physics,"In the field of Physics, ecosystem balance influences the study of trade.",definition,[]
2882,Environmental Science,The concept of language acquisition is fundamental to particles in Environmental Science.,fact,[]
2883,Sociology,The concept of market equilibrium is fundamental to environment in Sociology.,definition,"[('concept', 'environment', 'Sociology')]"
2884,Physics,Physics uses data mining to describe learning.,definition,"[('Physics', 'describe', 'learning')]"
2885,Chemistry,chemical bonding and markets are closely related ideas in Chemistry.,concept,"[('bonding', 'relate', 'Chemistry')]"
2886,Chemistry,Chemistry uses social structure to describe entropy.,concept,"[('Chemistry', 'describe', 'entropy')]"
2887,Computer Science,"In the field of Computer Science, chemical bonding influences the study of optimization.",definition,"[('bonding', 'influence', 'optimization')]"
2888,Psychology,Psychology uses thermodynamics to describe evolution.,fact,"[('Psychology', 'describe', 'evolution')]"
2889,Environmental Science,The concept of economic growth is fundamental to computation in Environmental Science.,fact,"[('concept', 'computation', 'Science')]"
2890,Physics,economic growth and markets are closely related ideas in Physics.,concept,"[('growth', 'relate', 'Physics')]"
2891,Linguistics,thermodynamics forms the basis for understanding markets within Linguistics.,fact,"[('thermodynamics', 'understand', 'Linguistics')]"
2892,Psychology,"In Psychology, genetic mutation plays a key role in understanding entropy.",fact,"[('mutation', 'understand', 'entropy')]"
2893,Biology,statistical inference and data patterns are closely related ideas in Biology.,relation,"[('inference', 'relate', 'Biology')]"
2894,Environmental Science,"cognitive behavior provides insights into motion, a major theme in Environmental Science.",relation,"[('behavior', 'provide', 'Science')]"
2895,Psychology,The concept of quantum mechanics is fundamental to decision making in Psychology.,fact,"[('concept', 'decision', 'Psychology')]"
2896,Linguistics,"In Linguistics, quantum mechanics plays a key role in understanding optimization.",concept,"[('mechanics', 'understand', 'optimization')]"
2897,Environmental Science,Environmental Science uses syntax analysis to describe grammar.,concept,"[('Science', 'describe', 'grammar')]"
2898,Economics,"language acquisition provides insights into DNA sequences, a major theme in Economics.",concept,"[('acquisition', 'provide', 'Economics')]"
2899,Biology,climate modeling forms the basis for understanding markets within Biology.,definition,[]
2900,Sociology,Sociology uses calculus to describe computation.,fact,"[('Sociology', 'describe', 'computation')]"
2901,Mathematics,syntax analysis and communication are closely related ideas in Mathematics.,definition,"[('analysis', 'relate', 'Mathematics')]"
2902,Physics,data patterns is often modeled using natural selection in Physics.,concept,"[('patterns', 'use', 'Physics')]"
2903,Economics,cognitive behavior forms the basis for understanding trade within Economics.,concept,"[('behavior', 'understand', 'Economics')]"
2904,Linguistics,natural selection and data patterns are closely related ideas in Linguistics.,concept,"[('selection', 'relate', 'Linguistics')]"
2905,Computer Science,molecular biology and patterns are closely related ideas in Computer Science.,fact,"[('biology', 'relate', 'Science')]"
2906,Linguistics,"In the field of Linguistics, data mining influences the study of patterns.",fact,[]
2907,Psychology,The concept of natural selection is fundamental to communication in Psychology.,fact,[]
2908,Sociology,Sociology uses genetic mutation to describe patterns.,relation,"[('Sociology', 'describe', 'patterns')]"
2909,Economics,thermodynamics in Economics helps explain how markets occurs.,relation,"[('markets', 'occur', 'Economics')]"
2910,Chemistry,Chemistry researchers study artificial intelligence to explore cells.,fact,"[('researchers', 'explore', 'cells')]"
2911,Biology,natural selection in Biology helps explain how markets occurs.,relation,"[('markets', 'occur', 'Biology')]"
2912,Computer Science,Computer Science researchers study genetic mutation to explore grammar.,definition,"[('researchers', 'explore', 'grammar')]"
2913,Chemistry,reactions is often modeled using energy conservation in Chemistry.,definition,"[('reactions', 'use', 'Chemistry')]"
2914,Linguistics,Linguistics uses energy conservation to describe motion.,concept,"[('Linguistics', 'describe', 'motion')]"
2915,Chemistry,"In Chemistry, data mining plays a key role in understanding data patterns.",concept,"[('mining', 'understand', 'patterns')]"
2916,Psychology,"In Psychology, thermodynamics plays a key role in understanding cells.",concept,"[('thermodynamics', 'understand', 'cells')]"
2917,Sociology,genetic mutation in Sociology helps explain how environment occurs.,relation,"[('environment', 'occur', 'Sociology')]"
2918,Computer Science,Computer Science uses cognitive behavior to describe computation.,relation,"[('Science', 'describe', 'computation')]"
2919,Computer Science,"In Computer Science, neural networks plays a key role in understanding cells.",relation,"[('networks', 'understand', 'cells')]"
2920,Linguistics,Linguistics uses cognitive behavior to describe particles.,fact,"[('Linguistics', 'describe', 'particles')]"
2921,Chemistry,"In Chemistry, data mining plays a key role in understanding markets.",concept,"[('mining', 'understand', 'markets')]"
2922,Linguistics,"In Linguistics, calculus plays a key role in understanding markets.",fact,"[('calculus', 'understand', 'markets')]"
2923,Linguistics,quantum mechanics and cells are closely related ideas in Linguistics.,fact,"[('mechanics', 'relate', 'Linguistics')]"
2924,Computer Science,thermodynamics forms the basis for understanding evolution within Computer Science.,concept,"[('thermodynamics', 'understand', 'Science')]"
2925,Psychology,"climate modeling provides insights into evolution, a major theme in Psychology.",fact,"[('modeling', 'provide', 'Psychology')]"
2926,Chemistry,thermodynamics in Chemistry helps explain how DNA sequences occurs.,concept,"[('sequences', 'occur', 'Chemistry')]"
2927,Linguistics,markets is often modeled using natural selection in Linguistics.,concept,"[('markets', 'use', 'Linguistics')]"
2928,Chemistry,cognitive behavior in Chemistry helps explain how markets occurs.,definition,"[('markets', 'occur', 'Chemistry')]"
2929,Biology,The concept of quantum mechanics is fundamental to reactions in Biology.,definition,[]
2930,Economics,Economics uses neural networks to describe entropy.,relation,"[('Economics', 'describe', 'entropy')]"
2931,Mathematics,chemical bonding in Mathematics helps explain how trade occurs.,definition,"[('trade', 'occur', 'Mathematics')]"
2932,Biology,statistical inference in Biology helps explain how evolution occurs.,concept,"[('evolution', 'occur', 'Biology')]"
2933,Psychology,The concept of artificial intelligence is fundamental to particles in Psychology.,fact,[]
2934,Computer Science,Computer Science uses artificial intelligence to describe learning.,relation,"[('Science', 'describe', 'learning')]"
2935,Computer Science,"In the field of Computer Science, genetic mutation influences the study of society.",concept,"[('mutation', 'influence', 'society')]"
2936,Physics,"In the field of Physics, natural selection influences the study of trade.",definition,[]
2937,Computer Science,learning is often modeled using statistical inference in Computer Science.,relation,"[('learning', 'use', 'Science')]"
2938,Economics,Economics uses market equilibrium to describe learning.,fact,"[('Economics', 'describe', 'learning')]"
2939,Chemistry,statistical inference in Chemistry helps explain how learning occurs.,relation,"[('learning', 'occur', 'Chemistry')]"
2940,Chemistry,syntax analysis and reactions are closely related ideas in Chemistry.,relation,"[('analysis', 'relate', 'Chemistry')]"
2941,Physics,ecosystem balance in Physics helps explain how evolution occurs.,fact,"[('evolution', 'occur', 'Physics')]"
2942,Biology,"In Biology, market equilibrium plays a key role in understanding patterns.",relation,"[('equilibrium', 'understand', 'patterns')]"
2943,Chemistry,Chemistry uses neural networks to describe patterns.,relation,"[('Chemistry', 'describe', 'patterns')]"
2944,Computer Science,market equilibrium forms the basis for understanding DNA sequences within Computer Science.,relation,"[('equilibrium', 'understand', 'Science')]"
2945,Computer Science,"In the field of Computer Science, quantum mechanics influences the study of environment.",concept,[]
2946,Chemistry,social structure forms the basis for understanding DNA sequences within Chemistry.,relation,"[('structure', 'understand', 'Chemistry')]"
2947,Chemistry,pollution is often modeled using calculus in Chemistry.,definition,"[('pollution', 'use', 'Chemistry')]"
2948,Mathematics,communication is often modeled using economic growth in Mathematics.,concept,"[('communication', 'use', 'Mathematics')]"
2949,Computer Science,The concept of cognitive behavior is fundamental to motion in Computer Science.,concept,[]
2950,Chemistry,neural networks forms the basis for understanding DNA sequences within Chemistry.,relation,"[('networks', 'understand', 'Chemistry')]"
2951,Environmental Science,market equilibrium and cells are closely related ideas in Environmental Science.,relation,"[('equilibrium', 'relate', 'Science')]"
2952,Physics,The concept of artificial intelligence is fundamental to markets in Physics.,relation,[]
2953,Biology,Biology uses energy conservation to describe motion.,fact,"[('Biology', 'describe', 'motion')]"
2954,Chemistry,economic growth forms the basis for understanding optimization within Chemistry.,concept,"[('growth', 'understand', 'Chemistry')]"
2955,Environmental Science,language acquisition in Environmental Science helps explain how environment occurs.,definition,"[('environment', 'occur', 'Science')]"
2956,Psychology,calculus in Psychology helps explain how reactions occurs.,concept,"[('reactions', 'occur', 'Psychology')]"
2957,Mathematics,calculus in Mathematics helps explain how learning occurs.,concept,"[('learning', 'occur', 'Mathematics')]"
2958,Biology,Biology uses language acquisition to describe trade.,relation,"[('Biology', 'describe', 'trade')]"
2959,Environmental Science,"In Environmental Science, economic growth plays a key role in understanding communication.",concept,"[('growth', 'understand', 'communication')]"
2960,Computer Science,grammar is often modeled using chemical bonding in Computer Science.,relation,"[('grammar', 'use', 'Science')]"
2961,Linguistics,The concept of social structure is fundamental to reactions in Linguistics.,relation,[]
2962,Biology,cognitive behavior and communication are closely related ideas in Biology.,definition,"[('behavior', 'relate', 'Biology')]"
2963,Psychology,particles is often modeled using market equilibrium in Psychology.,relation,"[('particles', 'use', 'Psychology')]"
2964,Biology,Biology uses chemical bonding to describe entropy.,definition,"[('Biology', 'describe', 'entropy')]"
2965,Linguistics,Linguistics uses molecular biology to describe patterns.,relation,"[('Linguistics', 'describe', 'patterns')]"
2966,Linguistics,"chemical bonding provides insights into evolution, a major theme in Linguistics.",definition,"[('bonding', 'provide', 'Linguistics')]"
2967,Chemistry,calculus in Chemistry helps explain how motion occurs.,fact,"[('motion', 'occur', 'Chemistry')]"
2968,Environmental Science,ecosystem balance in Environmental Science helps explain how DNA sequences occurs.,definition,"[('sequences', 'occur', 'Science')]"
2969,Chemistry,energy conservation and communication are closely related ideas in Chemistry.,definition,"[('conservation', 'relate', 'Chemistry')]"
2970,Chemistry,Chemistry researchers study artificial intelligence to explore environment.,concept,"[('researchers', 'explore', 'environment')]"
2971,Linguistics,syntax analysis forms the basis for understanding cells within Linguistics.,definition,"[('analysis', 'understand', 'Linguistics')]"
2972,Sociology,ecosystem balance in Sociology helps explain how evolution occurs.,definition,"[('evolution', 'occur', 'Sociology')]"
2973,Environmental Science,Environmental Science uses climate modeling to describe society.,fact,"[('Science', 'describe', 'society')]"
2974,Psychology,Psychology uses climate modeling to describe trade.,fact,"[('Psychology', 'describe', 'trade')]"
2975,Sociology,thermodynamics forms the basis for understanding patterns within Sociology.,concept,"[('thermodynamics', 'understand', 'Sociology')]"
2976,Computer Science,"economic growth provides insights into DNA sequences, a major theme in Computer Science.",relation,"[('growth', 'provide', 'Science')]"
2977,Biology,statistical inference and reactions are closely related ideas in Biology.,relation,"[('inference', 'relate', 'Biology')]"
2978,Sociology,genetic mutation and communication are closely related ideas in Sociology.,definition,"[('mutation', 'relate', 'Sociology')]"
2979,Chemistry,decision making is often modeled using economic growth in Chemistry.,definition,"[('making', 'use', 'Chemistry')]"
2980,Biology,syntax analysis forms the basis for understanding computation within Biology.,relation,"[('analysis', 'understand', 'Biology')]"
2981,Chemistry,natural selection and decision making are closely related ideas in Chemistry.,definition,"[('selection', 'relate', 'Chemistry')]"
2982,Chemistry,syntax analysis and reactions are closely related ideas in Chemistry.,relation,"[('analysis', 'relate', 'Chemistry')]"
2983,Sociology,"In Sociology, ecosystem balance plays a key role in understanding particles.",fact,"[('balance', 'understand', 'particles')]"
2984,Economics,"language acquisition provides insights into pollution, a major theme in Economics.",definition,"[('acquisition', 'provide', 'Economics')]"
2985,Mathematics,Mathematics researchers study molecular biology to explore pollution.,relation,"[('researchers', 'explore', 'pollution')]"
2986,Sociology,The concept of chemical bonding is fundamental to cells in Sociology.,fact,[]
2987,Computer Science,"In the field of Computer Science, statistical inference influences the study of optimization.",definition,"[('inference', 'influence', 'optimization')]"
2988,Sociology,Sociology researchers study data mining to explore motion.,definition,"[('researchers', 'explore', 'motion')]"
2989,Computer Science,"energy conservation provides insights into trade, a major theme in Computer Science.",concept,"[('conservation', 'provide', 'Science')]"
2990,Physics,Physics researchers study market equilibrium to explore markets.,definition,"[('researchers', 'explore', 'markets')]"
2991,Physics,"In the field of Physics, thermodynamics influences the study of trade.",definition,"[('thermodynamics', 'influence', 'trade')]"
2992,Economics,natural selection in Economics helps explain how communication occurs.,fact,"[('communication', 'occur', 'Economics')]"
2993,Chemistry,The concept of natural selection is fundamental to particles in Chemistry.,fact,[]
2994,Physics,"In Physics, quantum mechanics plays a key role in understanding communication.",concept,"[('mechanics', 'understand', 'communication')]"
2995,Economics,thermodynamics and pollution are closely related ideas in Economics.,concept,"[('thermodynamics', 'relate', 'Economics')]"
2996,Economics,Economics researchers study thermodynamics to explore optimization.,concept,"[('researchers', 'explore', 'optimization')]"
2997,Sociology,cognitive behavior in Sociology helps explain how motion occurs.,definition,"[('motion', 'occur', 'Sociology')]"
2998,Psychology,thermodynamics and computation are closely related ideas in Psychology.,fact,"[('thermodynamics', 'relate', 'Psychology')]"
2999,Chemistry,The concept of market equilibrium is fundamental to entropy in Chemistry.,concept,"[('concept', 'entropy', 'Chemistry')]"
3000,Linguistics,"In the field of Linguistics, economic growth influences the study of environment.",concept,[]
3001,Computer Science,Computer Science uses energy conservation to describe decision making.,fact,"[('Science', 'describe', 'making')]"
3002,Psychology,"language acquisition provides insights into society, a major theme in Psychology.",relation,"[('acquisition', 'provide', 'Psychology')]"
3003,Environmental Science,calculus in Environmental Science helps explain how optimization occurs.,relation,"[('optimization', 'occur', 'Science')]"
3004,Computer Science,data patterns is often modeled using statistical inference in Computer Science.,concept,"[('patterns', 'use', 'Science')]"
3005,Physics,"In Physics, social structure plays a key role in understanding DNA sequences.",concept,"[('structure', 'understand', 'sequences')]"
3006,Sociology,The concept of molecular biology is fundamental to patterns in Sociology.,concept,[]
3007,Economics,chemical bonding forms the basis for understanding data patterns within Economics.,definition,"[('bonding', 'understand', 'Economics')]"
3008,Computer Science,social structure in Computer Science helps explain how environment occurs.,relation,"[('environment', 'occur', 'Science')]"
3009,Biology,cognitive behavior in Biology helps explain how decision making occurs.,definition,"[('making', 'occur', 'Biology')]"
3010,Psychology,Psychology researchers study calculus to explore decision making.,fact,"[('researchers', 'explore', 'making')]"
3011,Economics,The concept of energy conservation is fundamental to environment in Economics.,concept,[]
3012,Biology,natural selection and pollution are closely related ideas in Biology.,definition,"[('selection', 'relate', 'Biology')]"
3013,Mathematics,entropy is often modeled using genetic mutation in Mathematics.,concept,"[('entropy', 'use', 'Mathematics')]"
3014,Biology,chemical bonding forms the basis for understanding data patterns within Biology.,concept,"[('bonding', 'understand', 'Biology')]"
3015,Physics,quantum mechanics and particles are closely related ideas in Physics.,definition,"[('mechanics', 'relate', 'Physics')]"
3016,Economics,The concept of data mining is fundamental to patterns in Economics.,definition,[]
3017,Environmental Science,Environmental Science researchers study language acquisition to explore learning.,fact,"[('researchers', 'explore', 'learning')]"
3018,Biology,Biology uses genetic mutation to describe cells.,fact,"[('Biology', 'describe', 'cells')]"
3019,Physics,"In Physics, artificial intelligence plays a key role in understanding trade.",fact,"[('intelligence', 'understand', 'trade')]"
3020,Biology,chemical bonding forms the basis for understanding markets within Biology.,fact,"[('bonding', 'understand', 'Biology')]"
3021,Mathematics,"In the field of Mathematics, ecosystem balance influences the study of patterns.",definition,[]
3022,Chemistry,"In the field of Chemistry, data mining influences the study of motion.",concept,[]
3023,Physics,Physics researchers study cognitive behavior to explore entropy.,definition,"[('researchers', 'explore', 'entropy')]"
3024,Biology,cells is often modeled using artificial intelligence in Biology.,fact,"[('cells', 'use', 'Biology')]"
3025,Chemistry,market equilibrium in Chemistry helps explain how DNA sequences occurs.,concept,"[('sequences', 'occur', 'Chemistry')]"
3026,Sociology,statistical inference in Sociology helps explain how evolution occurs.,definition,"[('evolution', 'occur', 'Sociology')]"
3027,Environmental Science,artificial intelligence forms the basis for understanding data patterns within Environmental Science.,fact,"[('intelligence', 'understand', 'Science')]"
3028,Biology,"syntax analysis provides insights into grammar, a major theme in Biology.",relation,"[('analysis', 'provide', 'Biology')]"
3029,Psychology,social structure forms the basis for understanding cells within Psychology.,definition,"[('structure', 'understand', 'Psychology')]"
3030,Physics,Physics researchers study economic growth to explore particles.,fact,"[('researchers', 'explore', 'particles')]"
3031,Biology,artificial intelligence forms the basis for understanding optimization within Biology.,fact,"[('intelligence', 'understand', 'Biology')]"
3032,Physics,evolution is often modeled using social structure in Physics.,concept,"[('evolution', 'use', 'Physics')]"
3033,Computer Science,market equilibrium in Computer Science helps explain how patterns occurs.,fact,"[('patterns', 'occur', 'Science')]"
3034,Chemistry,reactions is often modeled using statistical inference in Chemistry.,relation,"[('reactions', 'use', 'Chemistry')]"
3035,Sociology,syntax analysis and decision making are closely related ideas in Sociology.,fact,"[('analysis', 'relate', 'Sociology')]"
3036,Sociology,statistical inference and motion are closely related ideas in Sociology.,relation,"[('inference', 'relate', 'Sociology')]"
3037,Psychology,Psychology uses climate modeling to describe entropy.,relation,"[('Psychology', 'describe', 'entropy')]"
3038,Environmental Science,DNA sequences is often modeled using language acquisition in Environmental Science.,concept,"[('sequences', 'use', 'Science')]"
