id,domain,sentence,label,entities
1976,Mathematics,"artificial intelligence provides insights into evolution, a major theme in Mathematics.",relation,"[('Mathematics', 'NORP')]"
1977,Biology,"In Biology, market equilibrium plays a key role in understanding optimization.",relation,[]
1978,Computer Science,The concept of climate modeling is fundamental to data patterns in Computer Science.,concept,"[('Computer Science', 'ORG')]"
1979,Sociology,The concept of thermodynamics is fundamental to data patterns in Sociology.,relation,[]
1980,Mathematics,Mathematics uses artificial intelligence to describe learning.,relation,[]
1981,Biology,"In Biology, chemical bonding plays a key role in understanding particles.",fact,[]
1982,Psychology,cognitive behavior and learning are closely related ideas in Psychology.,fact,[]
1983,Chemistry,language acquisition forms the basis for understanding pollution within Chemistry.,fact,"[('Chemistry', 'ORG')]"
1984,Computer Science,"energy conservation provides insights into reactions, a major theme in Computer Science.",concept,"[('Computer Science', 'ORG')]"
1985,Mathematics,syntax analysis in Mathematics helps explain how patterns occurs.,definition,"[('Mathematics', 'NORP')]"
1986,Economics,genetic mutation forms the basis for understanding communication within Economics.,concept,"[('Economics', 'ORG')]"
1987,Psychology,calculus forms the basis for understanding cells within Psychology.,fact,[]
1988,Physics,"In Physics, data mining plays a key role in understanding particles.",concept,"[('Physics', 'ORG')]"
1989,Mathematics,"In Mathematics, artificial intelligence plays a key role in understanding cells.",definition,[]
1990,Computer Science,genetic mutation in Computer Science helps explain how patterns occurs.,relation,"[('Computer Science', 'ORG')]"
1991,Computer Science,data patterns is often modeled using thermodynamics in Computer Science.,definition,"[('Computer Science', 'ORG')]"
1992,Sociology,genetic mutation in Sociology helps explain how learning occurs.,fact,[]
1993,Economics,learning is often modeled using climate modeling in Economics.,fact,"[('Economics', 'GPE')]"
1994,Chemistry,genetic mutation forms the basis for understanding DNA sequences within Chemistry.,relation,"[('Chemistry', 'ORG')]"
1995,Chemistry,"In the field of Chemistry, statistical inference influences the study of computation.",concept,"[('Chemistry', 'ORG')]"
1996,Mathematics,quantum mechanics in Mathematics helps explain how decision making occurs.,concept,"[('quantum', 'ORG'), ('Mathematics', 'NORP')]"
1997,Mathematics,chemical bonding and environment are closely related ideas in Mathematics.,fact,"[('Mathematics', 'LOC')]"
1998,Computer Science,data patterns is often modeled using economic growth in Computer Science.,definition,"[('Computer Science', 'ORG')]"
1999,Environmental Science,Environmental Science uses economic growth to describe trade.,definition,[]
2000,Economics,Economics researchers study ecosystem balance to explore motion.,relation,[]
2001,Mathematics,"In Mathematics, climate modeling plays a key role in understanding patterns.",fact,[]
2002,Physics,The concept of genetic mutation is fundamental to trade in Physics.,definition,"[('Physics', 'ORG')]"
2003,Psychology,chemical bonding in Psychology helps explain how optimization occurs.,concept,[]
2004,Biology,Biology uses chemical bonding to describe evolution.,concept,[]
2005,Linguistics,Linguistics uses market equilibrium to describe DNA sequences.,concept,[]
2006,Sociology,social structure and communication are closely related ideas in Sociology.,definition,[]
2007,Chemistry,chemical bonding and motion are closely related ideas in Chemistry.,definition,"[('Chemistry', 'ORG')]"
2008,Economics,Economics researchers study thermodynamics to explore learning.,fact,[]
2009,Economics,The concept of molecular biology is fundamental to reactions in Economics.,definition,"[('Economics', 'GPE')]"
2010,Environmental Science,Environmental Science uses artificial intelligence to describe particles.,concept,[]
2011,Linguistics,energy conservation and decision making are closely related ideas in Linguistics.,definition,"[('Linguistics', 'GPE')]"
2012,Sociology,Sociology researchers study climate modeling to explore learning.,concept,[]
2013,Physics,molecular biology and markets are closely related ideas in Physics.,relation,"[('Physics', 'ORG')]"
2014,Chemistry,"In Chemistry, neural networks plays a key role in understanding optimization.",fact,[]
2015,Sociology,"In the field of Sociology, artificial intelligence influences the study of pollution.",relation,[]
2016,Psychology,calculus and computation are closely related ideas in Psychology.,definition,[]
2017,Physics,"In Physics, ecosystem balance plays a key role in understanding environment.",fact,[]
2018,Biology,The concept of artificial intelligence is fundamental to patterns in Biology.,fact,"[('Biology', 'LOC')]"
2019,Sociology,market equilibrium and decision making are closely related ideas in Sociology.,relation,[]
2020,Psychology,"statistical inference provides insights into DNA sequences, a major theme in Psychology.",definition,[]
2021,Economics,Economics uses neural networks to describe society.,relation,[]
2022,Psychology,Psychology researchers study thermodynamics to explore data patterns.,definition,[]
2023,Biology,language acquisition and pollution are closely related ideas in Biology.,definition,"[('Biology', 'LOC')]"
2024,Mathematics,Mathematics uses chemical bonding to describe evolution.,fact,[]
2025,Mathematics,Mathematics uses economic growth to describe communication.,concept,[]
2026,Linguistics,Linguistics uses language acquisition to describe society.,relation,[]
2027,Psychology,"In Psychology, ecosystem balance plays a key role in understanding pollution.",relation,[]
2028,Environmental Science,Environmental Science uses genetic mutation to describe markets.,definition,[]
2029,Biology,molecular biology forms the basis for understanding particles within Biology.,relation,"[('Biology', 'PRODUCT')]"
2030,Linguistics,The concept of ecosystem balance is fundamental to cells in Linguistics.,relation,"[('Linguistics', 'GPE')]"
2031,Linguistics,"social structure provides insights into optimization, a major theme in Linguistics.",fact,"[('Linguistics', 'GPE')]"
2032,Chemistry,Chemistry uses chemical bonding to describe reactions.,relation,[]
2033,Psychology,Psychology uses cognitive behavior to describe pollution.,concept,[]
2034,Environmental Science,"In Environmental Science, market equilibrium plays a key role in understanding optimization.",concept,[]
2035,Psychology,Psychology uses chemical bonding to describe trade.,fact,[]
2036,Physics,"social structure provides insights into trade, a major theme in Physics.",fact,"[('Physics', 'ORG')]"
2037,Mathematics,economic growth in Mathematics helps explain how markets occurs.,concept,"[('Mathematics', 'NORP')]"
2038,Environmental Science,neural networks forms the basis for understanding grammar within Environmental Science.,concept,"[('Environmental Science', 'ORG')]"
2039,Sociology,"In the field of Sociology, neural networks influences the study of markets.",definition,[]
2040,Computer Science,data mining in Computer Science helps explain how pollution occurs.,definition,"[('Computer Science', 'ORG')]"
2041,Computer Science,The concept of syntax analysis is fundamental to data patterns in Computer Science.,relation,"[('Computer Science', 'ORG')]"
2042,Psychology,economic growth in Psychology helps explain how trade occurs.,definition,[]
2043,Physics,"In Physics, cognitive behavior plays a key role in understanding cells.",relation,[]
2044,Psychology,particles is often modeled using syntax analysis in Psychology.,concept,[]
2045,Economics,The concept of thermodynamics is fundamental to evolution in Economics.,definition,"[('Economics', 'GPE')]"
2046,Physics,energy conservation forms the basis for understanding evolution within Physics.,concept,"[('Physics', 'ORG')]"
2047,Chemistry,particles is often modeled using quantum mechanics in Chemistry.,definition,"[('Chemistry', 'ORG')]"
2048,Economics,language acquisition forms the basis for understanding cells within Economics.,relation,"[('Economics', 'ORG')]"
2049,Sociology,statistical inference forms the basis for understanding motion within Sociology.,fact,[]
2050,Linguistics,Linguistics uses neural networks to describe particles.,definition,[]
2051,Chemistry,Chemistry researchers study energy conservation to explore pollution.,relation,[]
2052,Linguistics,statistical inference forms the basis for understanding evolution within Linguistics.,relation,"[('Linguistics', 'GPE')]"
2053,Chemistry,Chemistry uses molecular biology to describe computation.,definition,[]
2054,Physics,DNA sequences is often modeled using calculus in Physics.,definition,"[('Physics', 'ORG')]"
2055,Psychology,markets is often modeled using calculus in Psychology.,concept,[]
2056,Psychology,"quantum mechanics provides insights into reactions, a major theme in Psychology.",definition,"[('quantum', 'ORG')]"
2057,Computer Science,Computer Science uses calculus to describe optimization.,concept,"[('Computer Science', 'ORG')]"
2058,Economics,"In the field of Economics, thermodynamics influences the study of environment.",relation,"[('Economics', 'ORG')]"
2059,Physics,neural networks forms the basis for understanding grammar within Physics.,relation,"[('Physics', 'ORG')]"
2060,Economics,quantum mechanics forms the basis for understanding particles within Economics.,definition,"[('quantum', 'ORG'), ('Economics', 'ORG')]"
2061,Sociology,Sociology researchers study molecular biology to explore markets.,concept,[]
2062,Chemistry,thermodynamics and entropy are closely related ideas in Chemistry.,definition,"[('Chemistry', 'ORG')]"
2063,Linguistics,Linguistics researchers study artificial intelligence to explore particles.,fact,[]
2064,Sociology,"In the field of Sociology, neural networks influences the study of grammar.",definition,[]
2065,Economics,cognitive behavior forms the basis for understanding computation within Economics.,definition,"[('Economics', 'PERSON')]"
2066,Environmental Science,Environmental Science uses neural networks to describe DNA sequences.,relation,[]
2067,Chemistry,thermodynamics in Chemistry helps explain how markets occurs.,definition,"[('Chemistry', 'ORG')]"
2068,Biology,Biology uses neural networks to describe motion.,concept,[]
2069,Sociology,"In the field of Sociology, quantum mechanics influences the study of entropy.",concept,[]
2070,Sociology,Sociology researchers study genetic mutation to explore grammar.,definition,[]
2071,Sociology,"In the field of Sociology, economic growth influences the study of reactions.",definition,[]
2072,Mathematics,thermodynamics in Mathematics helps explain how computation occurs.,definition,"[('Mathematics', 'NORP')]"
2073,Computer Science,"In Computer Science, energy conservation plays a key role in understanding DNA sequences.",relation,[]
2074,Economics,Economics uses economic growth to describe entropy.,concept,[]
2075,Chemistry,climate modeling in Chemistry helps explain how society occurs.,definition,"[('Chemistry', 'ORG')]"
2076,Linguistics,statistical inference and communication are closely related ideas in Linguistics.,fact,"[('Linguistics', 'GPE')]"
2077,Chemistry,motion is often modeled using ecosystem balance in Chemistry.,concept,"[('Chemistry', 'ORG')]"
2078,Linguistics,energy conservation forms the basis for understanding optimization within Linguistics.,definition,"[('Linguistics', 'GPE')]"
2079,Environmental Science,Environmental Science uses syntax analysis to describe DNA sequences.,definition,[]
2080,Physics,society is often modeled using energy conservation in Physics.,concept,"[('Physics', 'ORG')]"
2081,Psychology,energy conservation in Psychology helps explain how trade occurs.,relation,[]
2082,Economics,Economics researchers study chemical bonding to explore environment.,concept,[]
2083,Psychology,Psychology uses energy conservation to describe DNA sequences.,definition,[]
2084,Economics,"data mining provides insights into markets, a major theme in Economics.",fact,"[('Economics', 'GPE')]"
2085,Linguistics,Linguistics researchers study statistical inference to explore reactions.,relation,[]
2086,Chemistry,"data mining provides insights into entropy, a major theme in Chemistry.",fact,"[('Chemistry', 'ORG')]"
2087,Linguistics,Linguistics researchers study energy conservation to explore markets.,definition,[]
2088,Economics,The concept of natural selection is fundamental to learning in Economics.,concept,"[('Economics', 'GPE')]"
2089,Linguistics,Linguistics uses thermodynamics to describe communication.,relation,[]
2090,Psychology,"ecosystem balance provides insights into patterns, a major theme in Psychology.",fact,[]
2091,Computer Science,"economic growth provides insights into particles, a major theme in Computer Science.",fact,"[('Computer Science', 'ORG')]"
2092,Economics,neural networks forms the basis for understanding trade within Economics.,fact,"[('Economics', 'ORG')]"
2093,Computer Science,"In Computer Science, genetic mutation plays a key role in understanding optimization.",fact,[]
2094,Economics,chemical bonding and particles are closely related ideas in Economics.,definition,"[('Economics', 'GPE')]"
2095,Mathematics,The concept of quantum mechanics is fundamental to communication in Mathematics.,fact,"[('Mathematics', 'LOC')]"
2096,Physics,Physics researchers study data mining to explore DNA sequences.,definition,[]
2097,Chemistry,Chemistry uses market equilibrium to describe pollution.,concept,[]
2098,Psychology,The concept of molecular biology is fundamental to communication in Psychology.,relation,[]
2099,Sociology,natural selection and computation are closely related ideas in Sociology.,definition,[]
2100,Physics,environment is often modeled using molecular biology in Physics.,fact,"[('Physics', 'ORG')]"
2101,Environmental Science,climate modeling in Environmental Science helps explain how reactions occurs.,concept,"[('Environmental Science', 'ORG')]"
2102,Linguistics,genetic mutation in Linguistics helps explain how environment occurs.,definition,"[('Linguistics', 'GPE')]"
2103,Sociology,Sociology researchers study energy conservation to explore reactions.,definition,[]
2104,Mathematics,market equilibrium and cells are closely related ideas in Mathematics.,definition,"[('Mathematics', 'LOC')]"
2105,Psychology,reactions is often modeled using calculus in Psychology.,fact,[]
2106,Chemistry,economic growth and pollution are closely related ideas in Chemistry.,concept,"[('Chemistry', 'ORG')]"
2107,Environmental Science,evolution is often modeled using statistical inference in Environmental Science.,concept,[]
2108,Mathematics,market equilibrium and entropy are closely related ideas in Mathematics.,concept,"[('Mathematics', 'LOC')]"
2109,Physics,"chemical bonding provides insights into environment, a major theme in Physics.",fact,"[('chemical', 'ORG'), ('Physics', 'ORG')]"
2110,Chemistry,"In the field of Chemistry, market equilibrium influences the study of evolution.",fact,"[('Chemistry', 'ORG')]"
2111,Psychology,"In Psychology, neural networks plays a key role in understanding motion.",definition,[]
2112,Linguistics,"In Linguistics, artificial intelligence plays a key role in understanding computation.",concept,"[('Linguistics', 'GPE')]"
2113,Chemistry,computation is often modeled using neural networks in Chemistry.,definition,"[('Chemistry', 'ORG')]"
2114,Psychology,thermodynamics in Psychology helps explain how environment occurs.,concept,[]
2115,Linguistics,genetic mutation forms the basis for understanding cells within Linguistics.,fact,"[('Linguistics', 'GPE')]"
2116,Mathematics,molecular biology in Mathematics helps explain how trade occurs.,fact,"[('Mathematics', 'NORP')]"
2117,Physics,Physics researchers study artificial intelligence to explore trade.,relation,[]
2118,Chemistry,market equilibrium and data patterns are closely related ideas in Chemistry.,definition,"[('Chemistry', 'ORG')]"
2119,Physics,evolution is often modeled using chemical bonding in Physics.,fact,"[('Physics', 'ORG')]"
2120,Linguistics,"In the field of Linguistics, quantum mechanics influences the study of entropy.",definition,"[('Linguistics', 'GPE')]"
2121,Linguistics,"In Linguistics, climate modeling plays a key role in understanding reactions.",fact,"[('Linguistics', 'GPE')]"
2122,Computer Science,market equilibrium and learning are closely related ideas in Computer Science.,relation,"[('Computer Science', 'ORG')]"
2123,Computer Science,Computer Science uses genetic mutation to describe pollution.,concept,"[('Computer Science', 'ORG')]"
2124,Economics,"In the field of Economics, calculus influences the study of DNA sequences.",relation,[]
2125,Physics,"In the field of Physics, quantum mechanics influences the study of environment.",concept,"[('Physics', 'ORG')]"
2126,Chemistry,artificial intelligence forms the basis for understanding pollution within Chemistry.,fact,"[('Chemistry', 'ORG')]"
2127,Mathematics,neural networks forms the basis for understanding DNA sequences within Mathematics.,fact,"[('Mathematics', 'LOC')]"
2128,Psychology,data mining in Psychology helps explain how trade occurs.,relation,[]
2129,Computer Science,thermodynamics in Computer Science helps explain how communication occurs.,definition,"[('Computer Science', 'ORG')]"
2130,Sociology,optimization is often modeled using language acquisition in Sociology.,relation,[]
2131,Sociology,market equilibrium and optimization are closely related ideas in Sociology.,relation,[]
2132,Mathematics,Mathematics researchers study chemical bonding to explore markets.,definition,[]
2133,Sociology,artificial intelligence forms the basis for understanding decision making within Sociology.,relation,[]
2134,Psychology,"In Psychology, energy conservation plays a key role in understanding evolution.",fact,[]
2135,Mathematics,"In Mathematics, social structure plays a key role in understanding data patterns.",definition,[]
2136,Physics,"In Physics, thermodynamics plays a key role in understanding communication.",concept,[]
2137,Mathematics,Mathematics researchers study quantum mechanics to explore pollution.,concept,[]
2138,Sociology,pollution is often modeled using language acquisition in Sociology.,definition,[]
2139,Psychology,ecosystem balance and entropy are closely related ideas in Psychology.,definition,[]
2140,Sociology,motion is often modeled using economic growth in Sociology.,definition,[]
2141,Psychology,"In the field of Psychology, economic growth influences the study of decision making.",relation,[]
2142,Linguistics,syntax analysis in Linguistics helps explain how decision making occurs.,relation,"[('Linguistics', 'GPE')]"
2143,Environmental Science,"climate modeling provides insights into environment, a major theme in Environmental Science.",fact,"[('Environmental Science', 'ORG')]"
2144,Linguistics,"In Linguistics, syntax analysis plays a key role in understanding DNA sequences.",relation,"[('Linguistics', 'GPE')]"
2145,Linguistics,Linguistics researchers study social structure to explore communication.,concept,[]
2146,Biology,Biology uses calculus to describe trade.,relation,[]
2147,Biology,"In the field of Biology, climate modeling influences the study of trade.",concept,"[('Biology', 'PRODUCT')]"
2148,Sociology,"chemical bonding provides insights into motion, a major theme in Sociology.",concept,"[('chemical', 'ORG')]"
2149,Psychology,DNA sequences is often modeled using social structure in Psychology.,definition,[]
2150,Sociology,"economic growth provides insights into society, a major theme in Sociology.",relation,[]
2151,Biology,Biology researchers study genetic mutation to explore decision making.,definition,[]
2152,Mathematics,"In the field of Mathematics, ecosystem balance influences the study of reactions.",concept,"[('Mathematics', 'NORP')]"
2153,Sociology,Sociology researchers study artificial intelligence to explore learning.,definition,[]
2154,Biology,"syntax analysis provides insights into data patterns, a major theme in Biology.",relation,"[('Biology', 'LOC')]"
2155,Psychology,particles is often modeled using market equilibrium in Psychology.,concept,[]
2156,Economics,Economics researchers study calculus to explore reactions.,fact,[]
2157,Biology,economic growth and particles are closely related ideas in Biology.,concept,"[('Biology', 'LOC')]"
2158,Economics,"In the field of Economics, energy conservation influences the study of data patterns.",fact,[]
2159,Physics,cells is often modeled using social structure in Physics.,concept,"[('Physics', 'ORG')]"
2160,Sociology,"In the field of Sociology, molecular biology influences the study of cells.",definition,[]
2161,Physics,Physics uses ecosystem balance to describe reactions.,definition,"[('Physics', 'ORG')]"
2162,Physics,language acquisition forms the basis for understanding society within Physics.,definition,"[('Physics', 'ORG')]"
2163,Mathematics,markets is often modeled using energy conservation in Mathematics.,concept,"[('Mathematics', 'LOC')]"
2164,Sociology,Sociology uses neural networks to describe decision making.,concept,[]
2165,Economics,social structure and optimization are closely related ideas in Economics.,concept,"[('Economics', 'GPE')]"
2166,Physics,"In the field of Physics, natural selection influences the study of DNA sequences.",concept,"[('Physics', 'ORG')]"
2167,Sociology,energy conservation and pollution are closely related ideas in Sociology.,definition,[]
2168,Environmental Science,Environmental Science researchers study neural networks to explore computation.,definition,[]
2169,Chemistry,"In Chemistry, statistical inference plays a key role in understanding markets.",concept,[]
2170,Computer Science,"ecosystem balance provides insights into society, a major theme in Computer Science.",fact,"[('Computer Science', 'ORG')]"
2171,Environmental Science,natural selection and cells are closely related ideas in Environmental Science.,relation,[]
2172,Psychology,syntax analysis in Psychology helps explain how learning occurs.,concept,[]
2173,Biology,molecular biology in Biology helps explain how entropy occurs.,relation,"[('Biology', 'PRODUCT')]"
2174,Environmental Science,"In Environmental Science, statistical inference plays a key role in understanding computation.",definition,[]
2175,Economics,"In the field of Economics, natural selection influences the study of reactions.",definition,"[('Economics', 'ORG')]"
2176,Psychology,"In Psychology, cognitive behavior plays a key role in understanding cells.",concept,[]
2177,Linguistics,"In Linguistics, natural selection plays a key role in understanding society.",fact,"[('Linguistics', 'GPE')]"
2178,Physics,The concept of thermodynamics is fundamental to evolution in Physics.,concept,"[('Physics', 'ORG')]"
2179,Computer Science,The concept of ecosystem balance is fundamental to DNA sequences in Computer Science.,concept,"[('Computer Science', 'ORG')]"
2180,Linguistics,artificial intelligence and cells are closely related ideas in Linguistics.,definition,"[('Linguistics', 'GPE')]"
2181,Chemistry,"In the field of Chemistry, syntax analysis influences the study of learning.",fact,"[('Chemistry', 'ORG')]"
2182,Sociology,Sociology uses language acquisition to describe pollution.,relation,[]
2183,Chemistry,"In the field of Chemistry, economic growth influences the study of markets.",concept,"[('Chemistry', 'ORG')]"
2184,Physics,"In the field of Physics, economic growth influences the study of optimization.",definition,"[('Physics', 'ORG')]"
2185,Linguistics,cognitive behavior in Linguistics helps explain how entropy occurs.,concept,"[('Linguistics', 'GPE')]"
2186,Environmental Science,language acquisition forms the basis for understanding DNA sequences within Environmental Science.,definition,"[('Environmental Science', 'ORG')]"
2187,Mathematics,energy conservation and optimization are closely related ideas in Mathematics.,fact,"[('Mathematics', 'LOC')]"
2188,Mathematics,neural networks and society are closely related ideas in Mathematics.,relation,"[('Mathematics', 'LOC')]"
2189,Environmental Science,communication is often modeled using molecular biology in Environmental Science.,fact,"[('Environmental Science', 'ORG')]"
2190,Sociology,Sociology researchers study economic growth to explore society.,concept,[]
2191,Physics,The concept of statistical inference is fundamental to reactions in Physics.,concept,"[('Physics', 'ORG')]"
2192,Linguistics,"In Linguistics, natural selection plays a key role in understanding entropy.",concept,"[('Linguistics', 'GPE')]"
2193,Computer Science,Computer Science uses thermodynamics to describe particles.,relation,"[('Computer Science', 'ORG')]"
2194,Economics,The concept of thermodynamics is fundamental to motion in Economics.,fact,"[('Economics', 'GPE')]"
2195,Physics,data mining and society are closely related ideas in Physics.,fact,"[('Physics', 'ORG')]"
2196,Economics,economic growth in Economics helps explain how communication occurs.,relation,"[('Economics', 'ORG')]"
2197,Chemistry,"In Chemistry, cognitive behavior plays a key role in understanding grammar.",fact,[]
2198,Sociology,"thermodynamics provides insights into trade, a major theme in Sociology.",concept,[]
2199,Environmental Science,economic growth in Environmental Science helps explain how particles occurs.,concept,"[('Environmental Science', 'ORG')]"
2200,Linguistics,The concept of genetic mutation is fundamental to optimization in Linguistics.,definition,"[('Linguistics', 'GPE')]"
2201,Physics,"language acquisition provides insights into patterns, a major theme in Physics.",definition,"[('Physics', 'ORG')]"
2202,Biology,artificial intelligence and reactions are closely related ideas in Biology.,fact,"[('Biology', 'LOC')]"
2203,Linguistics,economic growth in Linguistics helps explain how particles occurs.,relation,"[('Linguistics', 'GPE')]"
2204,Psychology,"economic growth provides insights into cells, a major theme in Psychology.",concept,[]
2205,Linguistics,data mining and pollution are closely related ideas in Linguistics.,definition,"[('Linguistics', 'GPE')]"
2206,Environmental Science,Environmental Science researchers study natural selection to explore pollution.,fact,[]
2207,Biology,"In Biology, cognitive behavior plays a key role in understanding data patterns.",concept,[]
2208,Chemistry,"calculus provides insights into entropy, a major theme in Chemistry.",concept,"[('Chemistry', 'ORG')]"
2209,Environmental Science,"In the field of Environmental Science, molecular biology influences the study of data patterns.",concept,[]
2210,Chemistry,data mining forms the basis for understanding DNA sequences within Chemistry.,relation,"[('Chemistry', 'ORG')]"
2211,Linguistics,computation is often modeled using ecosystem balance in Linguistics.,relation,"[('Linguistics', 'GPE')]"
2212,Biology,The concept of cognitive behavior is fundamental to pollution in Biology.,relation,"[('Biology', 'LOC')]"
2213,Physics,neural networks and evolution are closely related ideas in Physics.,definition,"[('Physics', 'ORG')]"
2214,Biology,"In Biology, data mining plays a key role in understanding pollution.",concept,[]
2215,Psychology,entropy is often modeled using natural selection in Psychology.,definition,[]
2216,Sociology,economic growth forms the basis for understanding computation within Sociology.,definition,[]
2217,Computer Science,thermodynamics and grammar are closely related ideas in Computer Science.,definition,"[('Computer Science', 'ORG')]"
2218,Environmental Science,Environmental Science uses social structure to describe reactions.,concept,[]
2219,Sociology,"genetic mutation provides insights into learning, a major theme in Sociology.",concept,[]
2220,Environmental Science,Environmental Science researchers study chemical bonding to explore society.,fact,[]
2221,Sociology,"social structure provides insights into cells, a major theme in Sociology.",relation,[]
2222,Economics,optimization is often modeled using market equilibrium in Economics.,definition,"[('Economics', 'GPE')]"
2223,Biology,"calculus provides insights into society, a major theme in Biology.",definition,"[('Biology', 'LOC')]"
2224,Psychology,"In the field of Psychology, syntax analysis influences the study of computation.",relation,[]
2225,Environmental Science,"In the field of Environmental Science, cognitive behavior influences the study of patterns.",definition,"[('Environmental Science', 'ORG')]"
2226,Economics,decision making is often modeled using artificial intelligence in Economics.,definition,"[('Economics', 'GPE')]"
2227,Computer Science,"In Computer Science, syntax analysis plays a key role in understanding evolution.",definition,[]
2228,Biology,"In the field of Biology, artificial intelligence influences the study of trade.",relation,"[('Biology', 'PRODUCT')]"
2229,Computer Science,The concept of genetic mutation is fundamental to markets in Computer Science.,fact,"[('Computer Science', 'FAC')]"
2230,Economics,artificial intelligence forms the basis for understanding reactions within Economics.,relation,"[('Economics', 'ORG')]"
2231,Physics,"In Physics, syntax analysis plays a key role in understanding society.",relation,"[('Physics', 'ORG')]"
2232,Computer Science,The concept of data mining is fundamental to learning in Computer Science.,fact,"[('Computer Science', 'ORG')]"
2233,Economics,Economics uses language acquisition to describe computation.,definition,[]
2234,Biology,Biology researchers study neural networks to explore grammar.,fact,[]
2235,Environmental Science,Environmental Science researchers study social structure to explore decision making.,fact,[]
2236,Chemistry,neural networks forms the basis for understanding patterns within Chemistry.,fact,"[('Chemistry', 'ORG')]"
2237,Environmental Science,energy conservation and trade are closely related ideas in Environmental Science.,relation,[]
2238,Sociology,Sociology researchers study climate modeling to explore motion.,fact,[]
2239,Sociology,syntax analysis and trade are closely related ideas in Sociology.,fact,[]
2240,Biology,trade is often modeled using neural networks in Biology.,definition,"[('Biology', 'LOC')]"
2241,Biology,molecular biology in Biology helps explain how grammar occurs.,relation,"[('Biology', 'PRODUCT')]"
2242,Sociology,The concept of genetic mutation is fundamental to markets in Sociology.,definition,[]
2243,Mathematics,pollution is often modeled using data mining in Mathematics.,definition,"[('Mathematics', 'LOC')]"
2244,Mathematics,Mathematics uses chemical bonding to describe evolution.,fact,[]
2245,Physics,chemical bonding forms the basis for understanding pollution within Physics.,concept,"[('Physics', 'ORG')]"
2246,Chemistry,The concept of social structure is fundamental to data patterns in Chemistry.,fact,"[('Chemistry', 'ORG')]"
2247,Biology,"In Biology, syntax analysis plays a key role in understanding motion.",definition,[]
2248,Sociology,market equilibrium forms the basis for understanding learning within Sociology.,relation,[]
2249,Psychology,Psychology uses quantum mechanics to describe learning.,fact,[]
2250,Environmental Science,natural selection forms the basis for understanding patterns within Environmental Science.,fact,"[('Environmental Science', 'ORG')]"
2251,Computer Science,statistical inference and computation are closely related ideas in Computer Science.,concept,"[('Computer Science', 'ORG')]"
2252,Linguistics,data patterns is often modeled using quantum mechanics in Linguistics.,definition,"[('Linguistics', 'GPE')]"
2253,Chemistry,energy conservation and evolution are closely related ideas in Chemistry.,relation,"[('Chemistry', 'ORG')]"
2254,Economics,quantum mechanics and cells are closely related ideas in Economics.,fact,"[('quantum mechanics', 'ORG'), ('Economics', 'GPE')]"
2255,Economics,"In Economics, genetic mutation plays a key role in understanding cells.",fact,[]
2256,Sociology,"In Sociology, artificial intelligence plays a key role in understanding decision making.",fact,[]
2257,Psychology,"In the field of Psychology, genetic mutation influences the study of patterns.",concept,[]
2258,Economics,patterns is often modeled using social structure in Economics.,definition,"[('Economics', 'GPE')]"
2259,Computer Science,"natural selection provides insights into communication, a major theme in Computer Science.",fact,"[('Computer Science', 'ORG')]"
2260,Sociology,Sociology researchers study cognitive behavior to explore communication.,relation,[]
2261,Biology,"In Biology, quantum mechanics plays a key role in understanding reactions.",relation,[]
2262,Psychology,"In Psychology, artificial intelligence plays a key role in understanding data patterns.",fact,[]
2263,Chemistry,The concept of energy conservation is fundamental to grammar in Chemistry.,fact,"[('Chemistry', 'GPE')]"
2264,Economics,"In the field of Economics, social structure influences the study of trade.",fact,[]
2265,Linguistics,market equilibrium and trade are closely related ideas in Linguistics.,concept,"[('Linguistics', 'GPE')]"
2266,Sociology,"In the field of Sociology, molecular biology influences the study of evolution.",relation,[]
2267,Psychology,Psychology researchers study molecular biology to explore entropy.,concept,[]
2268,Economics,"In Economics, neural networks plays a key role in understanding society.",fact,[]
2269,Psychology,"In Psychology, cognitive behavior plays a key role in understanding optimization.",definition,[]
2270,Economics,"molecular biology provides insights into patterns, a major theme in Economics.",fact,"[('Economics', 'GPE')]"
2271,Psychology,thermodynamics in Psychology helps explain how data patterns occurs.,concept,[]
2272,Mathematics,"cognitive behavior provides insights into cells, a major theme in Mathematics.",relation,"[('Mathematics', 'NORP')]"
2273,Psychology,"In Psychology, market equilibrium plays a key role in understanding pollution.",relation,[]
2274,Computer Science,"economic growth provides insights into grammar, a major theme in Computer Science.",fact,"[('Computer Science', 'ORG')]"
2275,Economics,artificial intelligence and communication are closely related ideas in Economics.,relation,"[('Economics', 'GPE')]"
2276,Mathematics,"calculus provides insights into grammar, a major theme in Mathematics.",concept,"[('Mathematics', 'NORP')]"
2277,Chemistry,thermodynamics and environment are closely related ideas in Chemistry.,concept,"[('Chemistry', 'ORG')]"
2278,Economics,"statistical inference provides insights into pollution, a major theme in Economics.",fact,"[('Economics', 'GPE')]"
2279,Chemistry,Chemistry uses quantum mechanics to describe computation.,definition,[]
2280,Mathematics,language acquisition and patterns are closely related ideas in Mathematics.,definition,"[('Mathematics', 'LOC')]"
2281,Linguistics,Linguistics researchers study neural networks to explore learning.,concept,[]
2282,Linguistics,"In the field of Linguistics, economic growth influences the study of markets.",fact,"[('Linguistics', 'GPE')]"
2283,Sociology,"In the field of Sociology, quantum mechanics influences the study of entropy.",definition,[]
